Name,Date & Time,Location,Type,Region
Amber Liu,1/17/2024, The Crocodile,Music,Downtown
Disability Justice,1/17/2024, Town Hall Seattle,Readings & Lectures,Downtown
Hughes Bros Presents,1/17/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
sarya wu,1/17/2024, Chop Suey,Music,Capitol Hill / Central District
The Sweet Lillies,1/17/2024, High Dive,Music,Fremont / Ballard
Dinosaur Jr.,Now through 1/18/2024, The Neptune Theatre,Music,University District
Black Dogs,1/18/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
Blue Elephant and The Seven Snakes,1/18/2024, Funhouse,Music,Capitol Hill / Central District
"Brock, Lanzetti, Ogawa",1/18/2024, The Royal Room,Music,South Seattle
Fact and Fiction: The Lord of the Rings,1/18/2024, National Nordic Museum,Film & Media Arts,Fremont / Ballard
Groundation,1/18/2024, Nectar Lounge,Music,Fremont / Ballard
Kayla Min Andrews,1/18/2024, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
Ol Doris,1/18/2024, Slim's Last Chance,Music,South Seattle
Rosetan,1/18/2024, High Dive,Music,Fremont / Ballard
"Untold Stories: Wire, Life, and Art with Kristin Tollefson",1/18/2024, Bainbridge Island Museum of Art,Readings & Lectures,West
Y La Bamba,1/18/2024, Neumos,Music,Capitol Hill / Central District
Dead Bars,1/19/2024, Slim's Last Chance,Music,South Seattle
Emotional: A Night For The Heartbroken,1/19/2024, Chop Suey,Music,Capitol Hill / Central District
Loonieboys,1/19/2024, Funhouse,Music,Capitol Hill / Central District
Corteo,Now through 1/20/2024, Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
Bewitcher,1/20/2024, Funhouse,Music,Capitol Hill / Central District
burn burn burn,1/20/2024, Slim's Last Chance,Music,South Seattle
Carly Ann Calbero,1/20/2024, The Royal Room,Music,South Seattle
El Primer Instinto,1/20/2024, El Corazon,Music,Downtown
Gary Janetti,1/20/2024, The Neptune Theatre,Theatre,University District
Jammah,1/20/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
Saturday Family Concert: The Harmonica Pocket,1/20/2024, Town Hall Seattle,Music,Downtown
Seattle Thunderbirds vs. Tri-City Americans,1/20/2024, accesso ShoWare Center,Sports,South
"Hokusai: Inspiration and Influence, from The Collection of The Museum of Fine Arts, Boston",Now through 1/21/2024, Seattle Art Museum,Museums,Downtown
An Evening with Chris Botti,Now through 1/21/2024, Dimitriou's Jazz Alley,Music,Downtown
Bluey’s Big Play,1/20/2024 through 1/21/2024, The Paramount Theatre,Theatre,Downtown
Mike Birbiglia: Please Stop the Ride,1/20/2024 through 1/21/2024, The Moore Theatre,Theatre,Downtown
Austin Plaine,1/21/2024, Funhouse,Music,Capitol Hill / Central District
Seattle Kraken vs. Toronto Maple Leafs,1/21/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Kate Alice Marshall,1/22/2024, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
Machine Head,1/22/2024, The Showbox,Music,Downtown
Silent Movie Mondays – Safety Last,1/22/2024, The Paramount Theatre,Film & Media Arts,Downtown
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024, Benaroya Hall,Readings & Lectures,Downtown
Buck Meek,1/23/2024, The Crocodile,Music,Downtown
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024, Washington Park Arboretum,Tours & Attractions,University District
Synthwave DJ Dance Party,1/23/2024, High Dive,Music,Fremont / Ballard
Wiley from Atlanta,1/23/2024, Funhouse,Music,Capitol Hill / Central District
Winter Reverb,1/23/2024, Chop Suey,Music,Capitol Hill / Central District
Tribute to John Williams,1/19/2024 through 1/24/2024, Benaroya Hall,Music,Downtown
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024, Dimitriou's Jazz Alley,Music,Downtown
Corey Harper,1/24/2024, Barboza,Music,Capitol Hill / Central District
DJ Shadow,1/24/2024, The Neptune Theatre,Music,University District
Opera on Tap,1/24/2024, The Royal Room,Music,South Seattle
PBS – Peter Band Supreme,1/24/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
Seattle Kraken vs. Chicago Blackhawks,1/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Silent Planet,1/24/2024, El Corazon,Music,Downtown
Stuff You Should Know,1/24/2024, The Paramount Theatre,Theatre,Downtown
The Cooking Gene,1/24/2024, Town Hall Seattle,Readings & Lectures,Downtown
Aryana Leon,1/25/2024, Barboza,Music,Capitol Hill / Central District
Colorworks,1/25/2024, Nectar Lounge,Music,Fremont / Ballard
Dar Williams,1/25/2024, The Neptune Theatre,Music,University District
Deb Perelman,1/25/2024, Town Hall Seattle,Readings & Lectures,Downtown
Emanuel Brown,1/25/2024, Chop Suey,Music,Capitol Hill / Central District
James Miles,1/25/2024, Town Hall Seattle,Readings & Lectures,Downtown
Madeline Pendleton,1/25/2024, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
October London,1/25/2024, The Showbox,Music,Downtown
Tacoma Stars vs. Empire Strykers,1/25/2024, accesso ShoWare Center,Sports,South
Dungeons and Drag Queens,1/26/2024, The Crocodile,Theatre,Downtown
Global Rhythms: Yungchen Lhamo,1/26/2024, Town Hall Seattle,Music,Downtown
Harlem Globetrotters 2024 World Tour –,1/26/2024, accesso ShoWare Center,Sports,South
Seattle Kraken vs. St. Louis Blues,1/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Shelf Nunny,1/26/2024, Barboza,Music,Capitol Hill / Central District
Super Diamond – The Neil Diamond Tribute Band,1/26/2024, The Showbox,Music,Downtown
The Disorderlies,1/26/2024, Slim's Last Chance,Music,South Seattle
Compania Nacional de Danza,1/25/2024 through 1/27/2024, Meany Center for the Performing Arts,Dance,University District
Metropolis,1/25/2024 through 1/27/2024, Benaroya Hall,Music,Downtown
Andy Coe Band,1/26/2024 through 1/27/2024, Nectar Lounge,Music,Fremont / Ballard
Harlem Globetrotters,1/27/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024, accesso ShoWare Center,Sports,South
The Budos Band,1/27/2024, The Showbox,Music,Downtown
The Human Family,1/27/2024, Opera Center,Music,Queen Anne / Seattle Center
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024, National Nordic Museum,Museums,Fremont / Ballard
Hanako O’Leary: Izanami,Now through 1/28/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Gage Alumni Show,Now through 1/28/2024, Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center
Bohemia,1/18/2024 through 1/28/2024, The Triple Door,Theatre,Downtown
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024, Dimitriou's Jazz Alley,Music,Downtown
Celebrate Asia,1/28/2024, Benaroya Hall,Music,Downtown
Family Day with Birds Connect Seattle,1/28/2024, National Nordic Museum,Museums,Fremont / Ballard
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Tacoma Stars vs. San Diego Sockers,1/28/2024, accesso ShoWare Center,Sports,South
Adira Sharkey,1/29/2024, Tractor Tavern,Music,Fremont / Ballard
"Car, The Garden",1/29/2024, The Crocodile,Music,Downtown
Cheryl Wheeler,1/30/2024, The Triple Door,Music,Downtown
Giantish,1/30/2024, High Dive,Music,Fremont / Ballard
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024, accesso ShoWare Center,Sports,South
A/political Rocks,Now through 1/31/2024, Henry Art Gallery,Museums,University District
Sophia Al-Maria,Now through 1/31/2024, Henry Art Gallery,Museums,University District
Jahari Stampley,1/30/2024 through 1/31/2024, Dimitriou's Jazz Alley,Music,Downtown
FRAKTURED: Home of the Broken Beat,1/31/2024, High Dive,Music,Fremont / Ballard
G3- 25th Anniversary reunion,1/31/2024, The Moore Theatre,Music,Downtown
JP Saxe,1/31/2024, The Showbox,Music,Downtown
Los Lobos,1/31/2024, The Triple Door,Music,Downtown
BabyTron,2/1/2024, The Showbox,Music,Downtown
